Genetic ID,Alternative ID,Latitude,Longitude,Genetic Sex Determination,Analysis Label,Detailed Label,Source (Library components if this study),UDG treatment (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),Data type,"Date: One of two formats: (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age, Lab number) e.g. 5983-5747 calBCE (6980±50 BP, Beta-226472) or (Format 2) Archaeological context date, e.g. 2500-1700 BCE",Location,Country,Coverage,SNPs,"mitochondrial DNA haplogroup determination (for newly reported sample, only given for individuals with >10x mtDNA coverage)"
I0354,SVP1,53.03,50.39,F,Steppe_EMBA,Srubnaya_Outlier,MathiesonNature2015,half,1240K.capture,"2014-1692 calBCE (3517±56 BP, AA-47809)","Spiridonovka IV, Samara River, Samara",Russia,0.39,385103,U5a1
I0360,SVP8,53.03,50.39,M,Steppe_MLBA,Srubnaya,MathiesonNature2015,half,1240K.capture,1850-1200 BCE,"Spiridonovka IV, Samara River, Samara",Russia,0.049,58414,U5a1
I0438,SVP50,53.38,50.38,M,Steppe_EMBA,Yamnaya_Samara,MathiesonNature2015,half,1240K.capture,"3021-2635 calBCE (4254±61 BP, AA-47807)","Luzkhi I, Samara River, Samara",Russia,0.736,579356,U5a1a1
I0439,SVP52,53.38,50.39,M,Steppe_EMBA,Yamnaya_Samara,MathiesonNature2015,half,1240K.capture,"3321-2921 calBCE (4420±30 BP, Beta-392491)","Lopatino I, Sok River, Samara",Russia,0.26,273652,U5a1a1
I0171,BZH12,51.82,10.91,F,Europe_LNBA,BenzigerodeHeimburg_LN,MathiesonNature2015,plus,1240K.capture,"2287-2041 calBCE (3758±33 BP, KIA-27952)",Benzingerode-Heimburg,Germany,0.143,144777,U5a1a2a
I1546,BZH2,51.82,10.91,F,Europe_LNBA,Bell_Beaker_Germany,MathiesonNature2015,half,1240K.capture,2500-2050 BCE,Benzingerode-Heimburg,Germany,0.143,155325,U5a1b1
I0432,SVP42,53.66,50.67,M,Steppe_MLBA,Poltavka_outlier,MathiesonNature2015,half,1240K.capture,"2925-2491 calBCE (4180±84 BP, AA-12569)","Potapovka I, Sok River, Samara",Russia,0.87,648053,U5a1c
I0124,SVP44,53.4,50.4,M,EHG,Samara_HG,MathiesonNature2015,half,1240K.capture,"5657-5541 calBCE (6680±30 BP, Beta-392490)","Lebyanzhinka IV, Sok River, Samara",Russia,0.598,486585,U5a1d
I0232,SVP12,48.1,54.44,M,Steppe_MLBA,Srubnaya,MathiesonNature2015,half,1240K.capture,1850-1200 BCE,"Novoselki, Northern Forest, Samara",Russia,8.202,1153002,U5a1f2
I1536,ESP17,51.42,11.68,M,Europe_LNBA,Corded_Ware_Germany,MathiesonNature2015,half,1240K.capture,2500-2050 BCE,Esperstedt,Germany,0.105,116878,U5a1g
I0433,SVP46,52.22,48.1,M,Steppe_Eneolithic,Samara_Eneolithic,MathiesonNature2015,half,1240K.capture,5200-4000 BCE,"Khvalynsk II, Volga River, Samara",Russia,0.476,440667,U5a1i
I0359,SVP7,53.03,50.39,F,Steppe_MLBA,Srubnaya,MathiesonNature2015,half,1240K.capture,1850-1200 BCE,"Spiridonovka IV, Samara River, Samara",Russia,1.367,754432,U5a2a1
I0014,Motala4,58.535,15.046,F,SHG,Motala_HG,MathiesonNature2015,plus,1240K.capture,"5877-5629 calBCE (6842±68 BP, Ua-42118)","Motala, Kanaljorden",Sweden,2.709,763001,U5a2d
I0015,Motala6,58.535,15.046,M,SHG,Motala_HG,MathiesonNature2015,plus,1240K.capture,"5964-5629 calBCE (6863±75 BP, Ua-42120)","Motala, Kanaljorden",Sweden,1.562,611053,U5a2d
I0408,Mina18,41.2522,-2.32622,F,Europe_MNChL,Iberia_MN,MathiesonNature2015,Mixed:half+plus,1240K.capture,3900-3600 BCE,La Mina,Spain,13.608,958102,U5b1
I0585,LB1,42.911,-5.3778,M,WHG,Iberia_HG,MathiesonNature2015,half,1240K.capture,"5983-5747 calBCE (6980±50 BP, Beta-226472)","La Brana-Arintero, Leon",Spain,19.536,1057168,U5b2c
I1506,"PF325, NE1",47.88,21.192,F,Europe_EN,LBK_Hungary_EN,MathiesonNature2015,half,1240K.capture,"5310-5070 calBCE (6237±32 BP, OxA-27861)",Polgar Ferenci hat,Hungary,1.517,729538,U5b2c
I0745,M11-363,40.3,29.56666667,M,Anatolia_N,Anatolia_Neolithic,MathiesonNature2015,half,1240K.capture,6500-6200 BCE,Barcın,Turkey,7.785,1025390,U8b1b1
I1097,BAR271 / M10-271,40.3,29.56666667,M,Anatolia_N,Anatolia_Neolithic,MathiesonNature2015,half,1240K.capture,6500-6200 BCE,Barcın,Turkey,2.125,776163,W1-T119C
I1549,BZH15,51.82,10.91,F,Europe_LNBA,Bell_Beaker_Germany,MathiesonNature2015,half,1240K.capture,2500-2050 BCE,Benzingerode-Heimburg,Germany,2.357,809566,W1c1
I0443,SVP57,53.38,50.38,M,Steppe_EMBA,Yamnaya_Samara,MathiesonNature2015,half,1240K.capture,3300-2700 BCE,"Lopatino II, Sok River, Samara",Russia,5.317,1025251,W3a1a
I0357,SVP5,53.38,50.39,F,Steppe_EMBA,Yamnaya_Samara,MathiesonNature2015,half,1240K.capture,"3090-2913 calBCE (4380±30 BP, Beta-392489)","Lopatino I, Sok River, Samara",Russia,0.625,544122,W6c
I1499,"HUNG86, NE3",48.52,21.168,F,Europe_EN,Bu_kk_Culture_Hungary_MN,MathiesonNature2015,half,1240K.capture,"5210-5010 calBCE (6185±34 BP, OxA-27732)",Garadna,Hungary,3.319,847840,X2b-T226C
I0821,HAL24,51.89583333,11.04666667,M,Europe_EN,LBK_EN,MathiesonNature2015,half,1240K.capture,"5201-4850 calBCE (6076±34 BP, KIA-40348)",Halberstadt-Sonntagsfeld,Germany,0.116,128759,X2d1
I1098,BAR99 / M10-352,40.3,29.56666667,F,Anatolia_N,Anatolia_Neolithic,MathiesonNature2015,half,1240K.capture,6500-6200 BCE,Barcın,Turkey,2.994,809388,X2d2
I0723,"T1, M229 / UH",40.26,29.65,M,Anatolia_N,Anatolia_Neolithic,MathiesonNature2015,half,1240K.capture,6400-5600 BCE,Mentese,Turkey,1.213,720119,X2m2
CB13,CB13,41.37,1.89,F,Europe_EN,Iberia_EN,OlaldeMBE2015,minus,Shotgun,"5469-5327 calBCE (6410±30, Beta-384724)","Cova Bonica, Vallirana, Barcelona",Spain,0.979,746511,K1a2a
MA1,Malta1,52.9,103.5,M,MA1,MA1_HG,RaghavanNature2013,minus,Shotgun,"22570-22140 calBCE (20240±60 BP, UCIAMS-79666)",Mal'ta,Russia,1.206,841673,..
Kostenki14,Kostenki14,51.23,39.3,M,Kostenki14,Kostenki14,SeguinOrlandoScience2014,minus,Shotgun,"36730-34310 calBCE (33250±500 BP, OxA-X-2395-15)",Kostenki,Russia,2.806,1104397,..
I1949,GD37,34.45,48.116,M,Iran_N,Ganj_Dareh_Iran_Neolithic,This study (S1949.E1.L1),half,1240K.capture,8000-7700 BCE,Ganj Dareh,Iran,0.045,52242,..
I1069,Nat5,32.65,35.067,M,Natufian,Israel_Natufian,This study (S1069.E1.L1),half,1240K.capture,11840-9760 BCE,Raqefet Cave,Israel,0.009,10288,..
I1415,AG84/2,31.988,35.976,M,Levant_N,PPNB,This study (S1415.E1.L1),half,1240K.capture,"8197-7653 calBCE (8790±50 BP, Poz-81101)",'Ain Ghazal,Jordan,0.016,19435,..
I1690,NAT6,32.65,35.067,M,Natufian,Israel_Natufian,This study (S1690.E1.L1),half,1240K.capture,11840-9760 BCE,Raqefet Cave,Israel,0.014,16866,..
I1687,NAT13,32.65,35.067,F,Natufian,Israel_Natufian,This study (S1687.E1.L1),half,1240K.capture,"11520-11110 calBCE (11405±120 BP, RTK-6607)",Raqefet Cave,Israel,0.013,15422,..
I1416,AG83/1,31.988,35.976,M,Levant_N,PPNB,This study (S1416.E1.L1),half,1240K.capture,8300-7900 BCE,'Ain Ghazal,Jordan,0.009,11289,..
I1709,AG84_8,31.988,35.976,M,Levant_N,PPNB,This study (S1709.E1.L1),half,1240K.capture,8300-7900 BCE,'Ain Ghazal,Jordan,0.012,14816,..
I1679,AG037C,31.988,35.976,F,Levant_N,PPNC,This study (S1679.E1.L1),half,1240K.capture,6900-6800 BCE,'Ain Ghazal,Jordan,0.04,47421,I
I1944,GD14B,34.45,48.116,F,Iran_N,Ganj_Dareh_Iran_Neolithic,This study (S1944.E1.L1),half,1240K.capture,8000-7700 BCE,Ganj Dareh,Iran,0.017,19812,R2
I1685,NAT4,32.65,35.067,M,Natufian,Israel_Natufian,This study (S1685.E1.L1),half,1240K.capture,11840-9760 BCE,Raqefet Cave,Israel,0.02,23472,J2a2
I1700,AG88_1,31.988,35.976,M,Levant_N,PPNB,This study (S1700.E1.L1),half,1240K.capture,8300-7900 BCE,'Ain Ghazal,Jordan,0.019,22703,T1a2
I1414,AG84/1,31.988,35.976,M,Levant_N,PPNB,This study (S1414.E1.L1),half,1240K.capture,8300-7900 BCE,'Ain Ghazal,Jordan,0.024,28156,K1a18
I1951,GD39,34.45,48.116,F,Iran_N,Ganj_Dareh_Iran_Neolithic,This study (S1951.E1.L1),half,1240K.capture,"8202-7681 calBCE (8800±50 BP, Poz-81109)",Ganj Dareh,Iran,0.008,9056,HV0f
I1701,AG83_3,31.988,35.976,F,Levant_N,PPNB,This study (S1701.E1.L1),half,1240K.capture,"7750-7569 calBCE (8620±50 BP, Poz-81094)",'Ain Ghazal,Jordan,0.009,11347,K1a18
I1293,HotuIIIb,35.59,53.5,M,Iran_HotuIIIb,Iran_HotuIIIb,"This study (S1293.E1.L1, S1293.E1.L2, S1293.E1.L3, S1293.E1.L4)",Mixed:half+minus,1240K.capture,9100-8600 BCE (questionable direct date of 7250 ± 40 bp (6218-6034 calBCE)),Hotu Cave,Iran,0.139,150581,HV2
I1727,AG_83_3082,31.988,35.976,M,Levant_N,PPNB,This study (S1727.E1.L1),half,1240K.capture,8300-7900 BCE,'Ain Ghazal,Jordan,0.041,47767,T1a2
